AtomicNumber,Symbol,Name,AtomicMass,CPKHexColor,ElectronConfiguration,Electronegativity,AtomicRadius,IonizationEnergy,ElectronAffinity,OxidationStates,StandardState,MeltingPoint,BoilingPoint,Density,GroupBlock,YearDiscovered,Mendeleev,BulkModulus,MolarVolume,VanDerWaalsRadius,AverageCationicRadius,AverageIonicRadius,AverageAnionicRadius,VelocitySound,PoissonsRatio,ThermalConductivity,ElectricalResistivity,RigidityModulus
1,H,Hydrogen,1.008,FFFFFF,1s1,2.2,120.0,13.598,0.754,"+1, -1",Gas,13.81,20.28,8.988e-05,Nonmetal,1766,103.0,None,11.42,1.1,0.0,0.0,0.0,1270.0,,0.1805,,
2,He,Helium,4.0026,D9FFFF,1s2,,140.0,24.587,,0,Gas,0.95,4.22,0.0001785,Noble gas,1868,1.0,None,21.0,1.4,0.0,0.0,0.0,970.0,,0.1513,,
3,Li,Lithium,7.0,CC80FF,[He]2s1,0.98,182.0,5.392,0.618,+1,Solid,453.65,1615.0,0.534,Alkali metal,1817,12.0,11.0 GPa,13.02,1.82,0.9,0.9,0.0,6000.0,,85.0,9.5e-08,4.2
4,Be,Beryllium,9.012183,C2FF00,[He]2s2,1.57,153.0,9.323,,+2,Solid,1560.0,2744.0,1.85,Alkaline earth metal,1798,77.0,130.0 GPa,4.85,1.53,0.59,0.59,0.0,13000.0,0.032,190.0,3.8e-08,132.0
5,B,Boron,10.81,FFB5B5,[He]2s2 2p1,2.04,192.0,8.298,0.277,+3,Solid,2348.0,4273.0,2.37,Metalloid,1808,86.0,320.0 GPa,4.39,1.92,0.41,0.41,0.0,16200.0,,27.0,1000000000000.0,
6,C,Carbon,12.011,909090,[He]2s2 2p2,2.55,170.0,11.26,1.263,"+4, +2, -4",Solid,3823.0,4098.0,2.267,Nonmetal,Ancient,95.0,33.0 GPa,5.29,1.7,0.3,0.3,0.0,18350.0,,140.0,1e-05,
7,N,Nitrogen,14.007,3050F8,[He] 2s2 2p3,3.04,155.0,14.534,,"+5, +4, +3, +2, +1, -1, -2, -3",Gas,63.15,77.36,0.0012506,Nonmetal,1772,100.0,None,13.54,1.55,0.285,0.63,1.32,333.6,,0.02583,,
8,O,Oxygen,15.999,FF0D0D,[He]2s2 2p4,3.44,152.0,13.618,1.461,-2,Gas,54.36,90.2,0.001429,Nonmetal,1774,101.0,None,17.36,1.52,0.0,1.26,1.26,317.5,,0.02658,,
9,F,Fluorine,18.99840316,90E050,[He]2s2 2p5,3.98,135.0,17.423,3.339,-1,Gas,53.53,85.03,0.001696,Halogen,1670,102.0,None,11.2,1.47,0.22,0.705,1.19,,,0.0277,,
10,Ne,Neon,20.18,B3E3F5,[He]2s2 2p6,,154.0,21.565,,0,Gas,24.56,27.07,0.0008999,Noble gas,1898,2.0,None,13.23,1.54,0.0,0.0,0.0,936.0,,0.0491,,
